Source,Target,Weight,SourceZone,TargetZone
BEL,ISR,766.0,Europe,Asia
BEL,ITA,15052.091,Europe,Europe
BEL,KOR,227.337,Europe,Asia
BEL,LBN,0.019,Europe,Asia
BEL,LTU,11.379,Europe,Europe
BEL,LUX,1131.294,Europe,Europe
BEL,MDG,0.167,Europe,Africa
BEL,MDV,0.263,Europe,Asia
BEL,NLD,97141.142,Europe,Europe
BEL,ABW,0.067,Europe,North America
BEL,NOR,27.418,Europe,Europe
BEL,POL,416.577,Europe,Europe
BEL,PRT,0.775,Europe,Europe
BEL,QAT,0.699,Europe,Asia
BEL,ROU,13.757,Europe,Europe
BEL,RWA,0.258,Europe,Africa
BEL,SEN,0.09,Europe,Africa
BEL,SYC,0.024,Europe,Africa
BEL,SGP,3.292,Europe,Asia
BEL,SVN,0.181,Europe,Europe
BEL,ZWE,2.332,Europe,Africa
BEL,ESP,523.678,Europe,Europe
BEL,SUR,0.016,Europe,South America
BEL,SWE,202.398,Europe,Europe
BEL,CHE,209.722,Europe,Europe
BEL,THA,8.713,Europe,Asia
BEL,TTO,0.091,Europe,North America
BEL,ARE,0.012,Europe,Asia
BEL,TUR,0.9219999999999999,Europe,Asia
BEL,UKR,0.23,Europe,Europe
BEL,GBR,225.159,Europe,Europe
BEL,USA,8.188,Europe,North America
BIH,HRV,524.6809999999999,Europe,Europe
BIH,HUN,6.234,Europe,Europe
BIH,ITA,23.332,Europe,Europe
BIH,SRB,20.325,Europe,Europe
BIH,ARE,3.511,Europe,Asia
BIH,TUR,4181.212,Europe,Asia
BRA,AUT,0.006,South America,Europe
BRA,BHS,0.057,South America,North America
BRA,BOL,57.067,South America,South America
BRA,CAN,0.005,South America,North America
BRA,CYP,0.085,South America,Asia
BRA,FRA,0.536,South America,Europe
BRA,DEU,80.754,South America,Europe
BRA,IDN,53410.305,South America,Asia
BRA,LBR,0.05,South America,Africa
BRA,MDG,0.094,South America,Africa
BRA,MLT,0.23,South America,Europe
BRA,MHL,0.189,South America,Oceania
BRA,PRY,182.602,South America,South America
BRA,PHL,36662.814,South America,Asia
BRA,POL,0.148,South America,Europe
BRA,SGP,0.066,South America,Asia
BRA,VNM,26369.873,South America,Asia
BRA,ESP,0.165,South America,Europe
BGR,ALB,19.893,Europe,Europe
BGR,AUT,10.151,Europe,Europe
BGR,BGD,11101.517,Europe,Asia
BGR,BEL,1499.083,Europe,Europe
BGR,CYP,5519.69,Europe,Asia
BGR,DNK,10.488000000000001,Europe,Europe
BGR,ETH,7041.953,Europe,Africa
BGR,FRA,11711.347000000002,Europe,Europe
BGR,GEO,0.481,Europe,Asia
BGR,DEU,5506.0289999999995,Europe,Europe
BGR,GRC,90278.20000000001,Europe,Europe
BGR,HUN,79.506,Europe,Europe
BGR,IDN,36249.856,Europe,Asia
BGR,IRN,37.047,Europe,Asia
BGR,IRL,20160.456,Europe,Europe
BGR,ISR,22520.474,Europe,Asia
BGR,ITA,39497.589,Europe,Europe
BGR,JPN,310.583,Europe,Asia
BGR,JOR,724.113,Europe,Asia
BGR,KOR,38125.224,Europe,Asia
BGR,LBN,43388.156,Europe,Asia
BGR,LBY,38832.331,Europe,Africa
BGR,LTU,2.131,Europe,Europe
BGR,MYS,570.0740000000001,Europe,Asia
BGR,MDA,5.036,Europe,Europe
BGR,MAR,3011.203,Europe,Africa
BGR,NLD,38514.057,Europe,Europe
BGR,PHL,72274.805,Europe,Asia
BGR,PRT,33872.258,Europe,Europe
BGR,ROU,68457.07400000001,Europe,Europe
BGR,RUS,2.305,Europe,Asia
BGR,SRB,7079.460999999999,Europe,Europe
BGR,VNM,5700.625,Europe,Asia
BGR,SVN,17.518,Europe,Europe
BGR,ESP,192425.587,Europe,Europe
BGR,SDN,16529.303,Europe,Africa
BGR,CHE,1127.541,Europe,Europe
BGR,SYR,17121.165,Europe,Asia
BGR,THA,11754.101,Europe,Asia
BGR,TUN,14265.244,Europe,Africa
BGR,TUR,19960.924,Europe,Asia
BGR,UKR,26.75,Europe,Europe
BGR,MKD,1079.7330000000002,Europe,Europe
BGR,EGY,9002.274,Europe,Africa
BGR,GBR,18681.988,Europe,Europe
BGR,YEM,5474.886,Europe,Asia
MMR,SGP,152.901,Asia,Asia
BDI,COD,0.469,Africa,Africa
BLR,ARM,41.148,Europe,Asia
BLR,KAZ,10.199,Europe,Asia
BLR,RUS,142.699,Europe,Asia
CAN,DZA,262257.912,North America,Africa
CAN,AUS,259318.316,North America,Oceania
CAN,AUT,8.456,North America,Europe
CAN,BGD,306055.627,North America,Asia
CAN,BEL,16547.826,North America,Europe
CAN,BRA,25990.542,North America,South America
CAN,VGB,24.919,North America,North America
CAN,MMR,15907.557,North America,Asia
CAN,BDI,1260.977,North America,Africa
CAN,CMR,30289.316000000003,North America,Africa
CAN,LKA,89125.2,North America,Asia
CAN,CHL,66921.729,North America,South America
CAN,CHN,769828.092,North America,Asia
CAN,COL,296361.99600000004,North America,South America
CAN,COM,1179.384,North America,Africa
CAN,CRI,36681.19,North America,North America
CAN,CUB,30824.784,North America,North America
CAN,CZE,26.311,North America,Europe
CAN,DNK,103.256,North America,Europe
CAN,DOM,65853.612,North America,North America
CAN,ECU,173553.77,North America,South America
CAN,FRA,258.291,North America,Europe
CAN,DEU,1627.632,North America,Europe
CAN,GHA,110052.59300000001,North America,Africa
CAN,GTM,4261.131,North America,North America
CAN,HTI,14398.771,North America,North America
CAN,HND,3620.831,North America,North America
CAN,HKG,4.989,North America,Asia
CAN,ISL,1.866,North America,Europe
CAN,IDN,558113.928,North America,Asia
CAN,IRQ,12772.025,North America,Asia
CAN,ISR,99.568,North America,Asia
CAN,ITA,257675.21899999998,North America,Europe
CAN,CIV,5379.955,North America,Africa
CAN,JPN,458405.245,North America,Asia
CAN,KEN,34613.171,North America,Africa
CAN,KOR,105277.469,North America,Asia
CAN,KWT,19037.697,North America,Asia
CAN,LBN,7861.129,North America,Asia
CAN,LBY,8522.113,North America,Africa
CAN,LUX,0.062,North America,Europe
CAN,MWI,13412.193,North America,Africa
CAN,MYS,55175.887,North America,Asia
CAN,MEX,161347.74599999998,North America,North America
CAN,MAR,197129.422,North America,Africa
CAN,MOZ,29184.1,North America,Africa
CAN,OMN,13805.455,North America,Asia
CAN,NAM,3884.033,North America,Africa
CAN,NLD,616.733,North America,Europe
CAN,NZL,2934.153,North America,Oceania
CAN,NIC,2077.794,North America,North America
CAN,NGA,186447.313,North America,Africa
CAN,PAN,2078.444,North America,North America
CAN,PER,273291.46,North America,South America
CAN,PHL,470.325,North America,Asia
CAN,PRT,4017.618,North America,Europe
CAN,QAT,11537.134,North America,Asia
CAN,RWA,4193.062,North America,Africa
CAN,SEN,5604.137,North America,Africa
CAN,SGP,4937.5689999999995,North America,Asia
CAN,SVK,1.053,North America,Europe
CAN,VNM,93892.289,North America,Asia
CAN,SVN,8.102,North America,Europe
CAN,ZAF,13521.2,North America,Africa
CAN,ZWE,5182.256,North America,Africa
CAN,ESP,19604.712,North America,Europe
CAN,SWZ,720.334,North America,Africa
CAN,SWE,0.289,North America,Europe
CAN,CHE,5983.046,North America,Europe
CAN,THA,76091.481,North America,Asia
CAN,TGO,9302.374,North America,Africa
CAN,ARE,89339.359,North America,Asia
CAN,TUN,44916.872,North America,Africa
CAN,TUR,155179.184,North America,Asia
CAN,UGA,3691.941,North America,Africa
CAN,MKD,0.09,North America,Europe
CAN,EGY,14816.531,North America,Africa
CAN,GBR,89845.705,North America,Europe
CAN,TZA,11392.289,North America,Africa
CAN,USA,409546.425,North America,North America
CAN,VEN,15895.419000000002,North America,South America
LKA,FRA,0.126,Asia,Europe
LKA,SYC,60.873000000000005,Asia,Africa
LKA,IND,15.584,Asia,Asia
CHL,AUT,1.521,South America,Europe
CHL,BOL,3.286,South America,South America
CHL,CAN,0.627,South America,North America
CHL,CZE,0.732,South America,Europe
CHL,DEU,0.381,South America,Europe
CHL,NLD,0.526,South America,Europe
CHN,AUS,4.239,Asia,Oceania
CHN,AUT,0.303,Asia,Europe
CHN,BEL,15.92,Asia,Europe
CHN,BLR,0.384,Asia,Europe
CHN,CZE,6.78,Asia,Europe
CHN,ETH,3162.216,Asia,Africa
CHN,FIN,3.903,Asia,Europe
CHN,FRA,79.612,Asia,Europe
CHN,DEU,38.569,Asia,Europe
CHN,IRN,0.007,Asia,Asia
CHN,KAZ,15.352,Asia,Asia
CHN,KOR,122.835,Asia,Asia
